allergen,percent_of_total
Cupressaceae,32.90224884789207
Urticaceae,22.789363074527095
Quercus,15.586645996317424
Platanus,10.59221960470412
Pinaceae,6.794847606791297
Carpinus,2.8247651906245297
Poaceae,1.5591832398462167
Oleaceae,1.111018476307726
Ambrosia,0.6952842814614631
Chenopodiaceae,0.5578799130585914
Olea,0.454498678687679
Plantago,0.4475060106195745
Populus,0.3939306554024373
Salix,0.3808698633504675
Alnus,0.37783733464678576
Moraceae,0.3730815643526186
Corylus,0.31849806463877356
Ulmus,0.28959304485612986
Acer,0.25190004041721986
Rumex,0.24043057197392798
Artemisia,0.23513195465084546
Betula,0.16875632290942472
Cannabaceae,0.1265010790999672
Fagus,0.0672806169087762
Fabaceae,0.06172594328389524
other Oleaceae,0.059521707718466293
Thalictrum,0.048698911092210175
Fraxinus,0.0451427443799848
Ypoloipa,0.03991135863803344
Ericaceae,0.03933825739102191
Castanea,0.038243487060192205
Juglans,0.031035636761239556
Liquidambar,0.026553691111534033
other Asteroideae,0.019331145908811853
Apiaceae,0.01520187794957496
Ligustrum,0.012049821091011569
Cyperaceae,0.010374602061285569
Rosaceae,0.007002121646179284
Cichorioideae,0.0023585320550089718
Tilia,0.0015356174439154987
Myricaceae,0.0011668929185305447
Papaveraceae,0.001160897397792578
Myrtaceae,0.00037472004612292074
